Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price,PriceOneRoom,PriceSquare
14038,999,2.0,47.98156123517504,29.44275054713416,6.0,7,9.0,1969,0.089039719,1,1,33,7976,5,900.0,0,11,1,184966.9307298416,92483.4653649208,3854.958570923767
15053,999,3.0,65.68363987232782,40.04954252356545,8.0,7,9.0,1978,6.99893e-05,1,1,46,10309,1,240.0,1,16,1,300009.4500627274,100003.15002090913,4567.491245093435
4765,53,2.0,44.947952764125,29.1976116880482,0.0,8,12.0,1968,0.049637257,1,1,34,7759,0,229.0,1,3,1,220925.90852358093,110462.95426179047,4915.149521557563
5809,58,2.0,53.35298135561334,52.73151204863503,9.0,8,17.0,1977,0.43788524,1,1,23,5735,3,1084.0,0,5,1,175616.22721724625,87808.11360862313,3291.591636589385
10783,999,1.0,39.64919195003,23.7761691108976,7.0,11,12.0,1976,0.012338886,1,1,35,5776,1,2078.0,2,4,1,150226.5316437466,150226.5316437466,3788.892642076478
12915,999,3.0,80.38447920267191,46.68372012823429,12.0,5,17.0,2011,0.309479124,1,1,35,7715,4,990.0,0,6,1,215898.44774214897,71966.14924738299,2685.822560320484
14549,999,2.0,62.2541135864025,37.16037741888674,7.0,3,5.0,1960,0.460556389,1,1,20,4386,14,900.0,1,5,1,296021.2043771131,148010.60218855654,4755.046491285515
11993,74,2.0,80.31292563185586,80.31292563185586,0.0,14,17.0,1977,0.075778755,1,1,6,1437,3,900.0,0,2,1,221244.15666358557,110622.07833179279,2754.7764562548796
5172,1,2.0,64.51143730838427,63.511437308384274,1.0,9,17.0,1977,0.0071223169999999,1,1,1,264,0,900.0,0,1,1,229102.7959994131,114551.39799970655,3551.3515983876177
8649,23,1.0,46.46140869718414,18.915552483878766,8.0,13,17.0,2014,0.075778755,1,1,6,1437,3,900.0,0,2,1,95380.22099316985,95380.22099316985,2052.8912847825577
15370,999,2.0,46.304906773325854,27.922584447134263,6.0,8,9.0,1973,0.118537385,1,1,30,6207,1,1183.0,1,0,1,204243.55312879704,102121.77656439852,4410.840391680746
12427,999,3.0,68.80885909839964,45.73690563942196,7.0,1,8.0,1959,0.0,1,1,23,3684,2,900.0,0,4,1,165534.5414246522,55178.18047488407,2405.7155371219087
6452,999,2.0,54.522804902937104,31.75975305618809,1.0,8,12.0,1999,0.090799103,1,1,74,19083,2,900.0,5,15,1,229220.3726091401,114610.18630457004,4204.119230791667
2408,57,3.0,68.10273923286483,39.3114930561345,8.0,6,12.0,1980,0.133215333,1,1,49,11395,3,1406.0,3,4,0,252481.9083226248,84160.6361075416,3707.367885149365
10953,27,1.0,53.76909713652528,52.40802696611313,1.0,1,4.0,1977,0.072157581,1,1,2,629,1,900.0,0,0,0,140647.56593684404,140647.56593684404,2615.7695298421204
2823,999,3.0,73.6122247317727,53.89208948435271,6.0,4,9.0,1979,0.037177818,1,1,52,11217,1,2300.0,1,7,1,89084.32787608178,29694.775958693925,1210.183881830581
2119,27,2.0,49.360647800323534,31.993963547007414,5.0,2,5.0,1983,0.051815435,1,1,5,1227,0,900.0,0,0,1,117000.381286696,58500.190643348,2370.3169731481753
3000,34,2.0,57.96996422253015,32.01248263525128,9.0,6,14.0,2001,0.069753361,1,1,53,13670,4,900.0,1,11,1,231828.43766693235,115914.21883346618,3999.1130023301225
2829,57,1.0,44.51348081256669,23.1134231345738,8.0,6,12.0,1983,0.133215333,1,1,49,11395,3,1406.0,3,4,0,183743.23046424173,183743.23046424173,4127.810881335724
4909,999,3.0,110.95979224728354,56.99676490132151,11.0,16,25.0,2012,0.000991363,1,1,33,6783,3,900.0,1,9,1,394895.3259868009,131631.77532893364,3558.9046986204003
8862,999,3.0,103.60529197422832,47.79942626246952,10.0,12,17.0,2002,0.319809354,1,1,25,4756,16,2857.0,5,8,1,521919.0573998705,173973.01913329016,5037.571416040188
11935,27,2.0,64.71183493873933,63.71183493873933,1.0,1,1.0,1977,0.2114012139999999,1,1,9,1892,0,900.0,0,1,1,127200.02651097004,63600.01325548502,1965.6377636546133
11852,999,1.0,41.66864965650633,20.207761889892915,10.0,19,22.0,1996,0.041124634,1,1,46,9515,5,900.0,1,10,1,215083.96905610108,215083.96905610108,5161.769599666326
6641,999,3.0,118.90761184257369,118.90761184257369,0.0,2,17.0,1977,0.006076152,1,1,30,5285,0,645.0,6,6,1,571069.0526003882,190356.35086679607,4802.628223300358
7704,999,3.0,62.18053598937177,44.16969407540736,5.0,4,5.0,1964,0.020741326,1,1,24,5613,5,1340.0,2,5,1,241718.0995266293,80572.69984220977,3887.359535915629
5073,74,2.0,82.66791473448255,81.66791473448255,1.0,16,17.0,1977,0.075778755,1,1,6,1437,3,900.0,0,2,1,244145.82706857228,122072.91353428614,2953.3323521312172
4378,27,3.0,106.95887123511147,0.6418221077821484,0.0,17,17.0,2018,0.072157581,1,1,2,629,1,900.0,0,0,0,337299.8679364438,112433.28931214794,3153.547377991758
7550,23,2.0,64.55620925344805,63.556209253448046,1.0,8,17.0,1977,0.075778755,1,1,6,1437,3,900.0,0,2,1,173910.92372317292,86955.46186158646,2693.945721633029
8054,23,1.0,42.530043258688565,43.96775892567469,1.0,3,9.0,2014,0.034656082,1,1,0,168,0,900.0,0,0,1,95338.19854860756,95338.19854860756,2241.6670956272937
522,11,2.0,48.37223191245333,31.00758147862463,6.0,4,9.0,1972,0.0001696759999999,1,1,36,5992,0,900.0,1,1,1,213374.1664030486,106687.0832015243,4411.087890036264
89,999,2.0,39.43535081853332,23.37768698871145,7.0,9,9.0,1965,0.007658515,1,1,35,7077,56,2301.0,3,19,1,283877.6171417454,141938.8085708727,7198.556910221076
4785,61,1.0,41.7651555000357,19.3431856771646,9.0,12,16.0,1984,0.300322518,1,1,52,10311,6,900.0,1,9,1,189007.2389442105,189007.2389442105,4525.476720517631
13253,27,2.0,63.67911598308709,37.275774657400376,1.0,9,15.0,1977,0.017647053,1,1,2,469,0,900.0,0,0,1,178721.7063373904,89360.8531686952,2806.598420506625
13905,44,1.0,34.767226881668705,18.209648101536548,6.0,7,9.0,1972,0.036122292,1,1,24,4378,0,1036.0,1,1,1,154928.80993818038,154928.80993818038,4456.173926827273
8384,999,2.0,42.17678220950819,28.085689937853196,5.0,2,5.0,1965,0.265088676,1,1,37,5288,0,1937.0,3,2,1,176344.82040566398,88172.41020283199,4181.087583440858
6486,999,3.0,85.28038875664878,58.44796717906255,9.0,3,5.0,1960,0.0,1,1,33,7425,1,900.0,2,5,1,402871.9163172412,134290.63877241375,4724.0863015628765
11703,23,1.0,41.11876598003856,40.11876598003856,1.0,4,17.0,1977,0.075778755,1,1,6,1437,3,900.0,0,2,1,103510.22360146276,103510.22360146276,2517.347520879217
